[1180/300000] -- step:15085 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.935 -- time:0.0032
[1200/300000] -- step:15371 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.933 -- time:0.0017
[1220/300000] -- step:15611 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.932 -- time:0.0017
[1240/300000] -- step:15851 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.931 -- time:0.0019
[1260/300000] -- step:16091 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.93 -- time:0.0017
[1280/300000] -- step:16331 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.929 -- time:0.0017
[1300/300000] -- step:16571 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.928 -- time:0.0018
[1320/300000] -- step:16811 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.927 -- time:0.0029
[1340/300000] -- step:17051 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.926 -- time:0.0018
[1360/300000] -- step:17368 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.925 -- time:0.0019
[1380/300000] -- step:17682 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.924 -- time:0.0017
[1400/300000] -- step:17922 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.923 -- time:0.0016
[1420/300000] -- step:18162 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.922 -- time:0.0017
[1440/300000] -- step:18402 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.921 -- time:0.0017
[1460/300000] -- step:18642 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.92 -- time:0.0018
[1480/300000] -- step:18882 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.919 -- time:0.0018
[1500/300000] -- step:19150 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.918 -- time:0.0018
[1520/300000] -- step:19439 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.917 -- time:0.0018
[1540/300000] -- step:19679 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.916 -- time:0.0017
[1560/300000] -- step:19919 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.915 -- time:0.0017
[1580/300000] -- step:20208 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.914 -- time:0.0018
[1600/300000] -- step:20448 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.913 -- time:0.0017
[1620/300000] -- step:20688 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.912 -- time:0.0017
[1640/300000] -- step:20928 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.911 -- time:0.0017
[1660/300000] -- step:21168 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.91 -- time:0.0017
[1680/300000] -- step:21408 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.909 -- time:0.0018
[1700/300000] -- step:21648 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.908 -- time:0.0017
[1720/300000] -- step:21888 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.907 -- time:0.0017
[1740/300000] -- step:22128 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.906 -- time:0.003
[1760/300000] -- step:22445 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.904 -- time:0.0018
[1780/300000] -- step:22685 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.903 -- time:0.003
[1800/300000] -- step:22925 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.903 -- time:0.0021
[1820/300000] -- step:23165 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.902 -- time:0.0018
[1840/300000] -- step:23405 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.901 -- time:0.0016
